id,full_name,neo,pha,moid,e,a,q,i,diameter,albedo,class,H,spectral_class
bk10f09w,       (2010 FW9),Y,N,0.00205764,0.432591385379017,1.641598635502547,0.9314572075341964,3.76705619502725,0.024,0.075,APO,26.7,C
bk10f09x,       (2010 FX9),Y,N,0.013886,0.366988215691225,1.131501407234373,0.7162537247413201,3.780271960151342,0.03,0.425,APO,24.2,M
bk10f10f,       (2010 FF10),Y,Y,0.0376135,0.6317752489014721,2.379899310741219,0.8763378313372435,5.077110407659165,0.095,0.407,APO,21.7,M
bk10f80x,       (2010 FX80),Y,N,0.534012,0.4549099021446444,2.169165830879132,1.1823908150184,36.96465173883563,0.676,0.022,AMO,20.6,C
bk10f80y,       (2010 FY80),Y,N,0.138298,0.6125175826491126,2.69354770350364,1.043702375403522,18.8119764967283,0.451,0.118,AMO,19.5,C
bk10f80z,       (2010 FZ80),Y,N,0.300458,0.7457345063008579,2.746073773074559,0.6982318036450686,27.37892177589018,0.867,0.018,APO,20.3,C
bk10f81a,       (2010 FA81),Y,N,0.0339111,0.1518958032174261,1.195151813893326,1.013613269155235,15.47756250369416,0.097,0.224,APO,22.4,S
bk10f81b,       (2010 FB81),Y,N,0.0919883,0.6054789087036525,2.576582714840289,1.016516224474097,9.477392204208348,0.319,0.048,APO,21.4,C
bk10f81c,       (2010 FC81),Y,Y,0.026114,0.6233092632200352,2.67641430197387,1.008180475338972,1.682625715729447,0.402,0.021,APO,21.8,C
bk10f81g,       (2010 FG81),Y,N,0.0184894,0.3933325872209067,1.659472240167175,1.006747730520946,7.968435115318584,0.105,0.058,APO,23.3,C
bk10f81j,       (2010 FJ81),Y,N,0.129854,0.6833089303069636,3.605664416555762,1.141881721033162,42.47701918278268,0.416,0.049,AMO,20.7,C
bk10f92o,       (2010 FO92),Y,N,0.0805775,0.5182959591973096,2.144925407684088,1.033219236101783,6.758822884645314,0.268,0.277,AMO,20.0,S
bk10g05z,       (2010 GZ5),Y,N,0.0476521,0.5849240712353977,1.432731727166431,0.594692452324119,6.111701713356906,0.071,0.281,APO,22.8,S
bk10g06b,       (2010 GB6),Y,N,0.0936684,0.2447713332899196,0.8819668566557345,0.666086653234591,35.31421642451072,0.134,0.142,ATE,22.1,C
bk10g06t,       (2010 GT6),Y,N,0.0855888,0.5897428131997612,1.48952196467819,0.611087090906039,10.01613867517396,0.116,0.3,APO,21.6,S
bk10g06u,       (2010 GU6),Y,N,0.0954474,0.6794564941830454,2.684075299763968,0.8603629064630356,10.32859827368118,0.252,0.147,APO,20.7,C
bk10g07a,       (2010 GA7),Y,N,0.162444,0.3890705194618636,0.9126191955561213,0.5575459710702331,30.00283118973319,0.151,0.256,ATE,21.3,S
bk10g07h,       (2010 GH7),Y,N,0.000999901,0.2997113294714902,1.40020662722943,0.9805488374477062,3.537319183250137,0.008,0.326,APO,27.3,S
