id,full_name,neo,pha,moid,e,a,q,i,diameter,albedo,class,H
bK16R20J,       (2016 RJ20),Y,N,0.00823378,0.522285075613093,0.9249790752367536,0.4418763089861969,5.151456831058694,0.06538518417986329,,ATE,23.6
bK16R20K,       (2016 RK20),Y,N,0.119164,0.3406608011030189,1.712665509998087,1.129227505340628,8.525839391742522,0.04125526217847486,,AMO,24.6
bK16R20L,       (2016 RL20),Y,N,0.0256029,0.4009643636843088,1.255778460206359,0.752256048981255,19.78874829040541,0.06846669297430096,,APO,23.5
bK16R20M,       (2016 RM20),Y,N,0.0165565,0.1599245769851609,1.162809519118166,0.976847698658875,9.310406199528815,0.019746009945278104,,APO,26.2
bK16R20N,       (2016 RN20),Y,N,0.00701025,0.07318842818959184,1.07514277626497,0.996454766390743,5.360045655302446,0.007861028149035876,,APO,28.2
bK16R20O,       (2016 RO20),Y,N,0.00495685,0.6588681751631948,2.323198069004236,0.7925167967367569,2.103289163933701,0.012458889999152152,,APO,27.2
bK16R20P,       (2016 RP20),Y,N,0.00975986,0.5055000180251069,1.972679918559912,0.9754901841701102,8.177869023177456,0.026030310669964644,,APO,25.6
bK16R20Q,       (2016 RQ20),Y,N,0.315361,0.4983022555062274,2.561854711598803,1.285276730529864,15.71769589502541,0.1885729310124611,,AMO,21.3
bK16R20R,       (2016 RR20),Y,N,0.25634,0.7194289464912843,2.657004695890369,0.7454786067035655,35.89626305442131,0.750722360083508,,APO,18.3
bK16R20S,       (2016 RS20),Y,N,0.0287056,0.3515886568520158,1.290485733218905,0.8367655875897814,16.28900515040824,0.056948114743233316,,APO,23.9
bK16R20T,       (2016 RT20),Y,N,0.0268188,0.3687560992398633,0.8280724251544922,0.522715667766428,34.14049679081835,0.04523549545486838,,ATE,24.4
bK16R33P,       (2016 RP33),Y,N,0.21528,0.6350594027369749,3.330716669020463,1.215513730506241,23.06729799714218,0.43199562784405615,,AMO,19.5
bK16R33Q,       (2016 RQ33),Y,N,0.0912863,0.3023129429408339,1.30731707823289,0.9120982049554924,32.87509501317207,0.47367378676019345,,APO,19.3
bK16R33R,       (2016 RR33),Y,N,0.223143,0.4291199408782707,2.151957863655303,1.22850983243101,6.888993287751187,0.43199562784405615,,AMO,19.5
bK16R33S,       (2016 RS33),Y,N,0.0984418,0.497143599236418,2.208346325118687,1.110481084688666,7.598602986195604,0.14304719672357855,,AMO,21.9
bK16R33T,       (2016 RT33),Y,N,0.0512234,0.6113785808012676,2.710685727834167,1.053430534552663,19.85448162759554,0.056948114743233316,,AMO,23.9
bK16R33U,       (2016 RU33),Y,N,0.0151235,0.2231212107652325,1.023555904687116,0.7951788719474236,5.437664265016084,0.010851239560529477,,APO,27.5
bK16R33V,       (2016 RV33),Y,N,0.0173996,0.4813227681035565,1.948590296536763,1.010689421107958,7.577283511583806,0.016424015696315356,,APO,26.6
bK16R33W,       (2016 RW33),Y,N,0.403559,0.5588141858971322,2.598585671913653,1.146459135179273,24.82390282898567,0.47367378676019345,,AMO,19.3
bK16R33Y,       (2016 RY33),Y,N,0.176119,0.5660965742609575,2.664035279451378,1.15593403404362,13.09771179290221,0.34314632447397714,,AMO,20.0
bK16R33Z,       (2016 RZ33),Y,N,0.0946403,0.6345703180841088,2.181644031975098,0.7972374846583623,9.66456072789772,0.16424015696315358,,APO,21.6
